date,region,avg_temp,min_temp,max_temp
2021-06-01,seoul,20.2,15.9,23.9
2021-06-02,seoul,23.2,16.6,29.7
2021-06-03,seoul,19.1,14.6,22.7
2021-06-01,daejeon,22.5,16.3,28
2021-06-02,daejeon,24.4,18,30.6
2021-06-03,daejeon,19.2,17.7,21.7
2021-06-01,busan,21.2,16.6,26.3
2021-06-02,busan,21.4,19.1,25.6
2021-06-03,busan,19.2,18.2,19.9
